i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 theta_x_dot theta_y_dot e_x e_y abort K_x_0 K_x_1 K_y_0 K_y_1 Q_scale R_scale
612 6.642436504364014 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.031006115374868 -2.0544434223814383 -10.832516099100143 -2.253812229606606 1.416521687556112 1.1472423172484156 -3.58160473382231 7.16320946764462 -5.372407100733465 -0.04549188581965295 -0.7039010055716488 8.031006115374868 2.0544434223814383 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
613 6.653336524963379 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -7.954101600415109 -2.384033347006757 -10.876461536220004 -2.2874721508950677 1.4866465235737414 1.09534993859537 -3.0926057780652396 7.216080148818893 -5.669777259786272 -0.011794946184396471 -0.6685429419619615 7.954101600415109 2.384033347006757 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
614 6.6643407344818115 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -7.82226614282917 -2.691650553072145 -10.876461536220004 -2.3197295754631777 1.5609788497524284 1.0364450763405613 -2.7966036298157255 7.271169437520887 -5.872867622613024 0.03243362005899041 -0.6325303947843197 7.82226614282917 2.691650553072145 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
615 6.675262689590454 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -7.646484394349721 -2.9663087880193424 -10.843512703663864 -2.349182006590582 1.633908679210763 0.9775402140857526 -2.6236687763818907 6.704931317420387 -5.538856305695102 0.08199097174240803 -0.5935929459204415 7.646484394349721 2.9663087880193424 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
616 6.686349868774414 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -7.031249982218945 -3.317871271122034 -10.799567266544 -2.378634437717986 1.7068385086690974 0.9172328551105914 -2.683918877987088 6.858903799300337 -5.666050964639409 0.2590295123507619 -0.5854096218707862 7.031249982218945 3.317871271122034 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
617 6.697415590286255 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -6.657714620473764 -3.6694337542247255 -10.678713899369795 -2.416501849167506 1.8050132790937785 0.8344855486097887 -2.6141597769852494 7.058231397860173 -6.273983464764598 0.3254851681368157 -0.5796326269199055 6.657714620473764 3.6694337542247255 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
618 6.708327770233154 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -6.383056492248272 -3.889160332844334 -10.579840080944692 -2.4431492868542053 1.8779431085521132 0.7699706994735698 -2.627874686813915 7.3580491230789615 -6.306899248353395 0.34821684478574394 -0.5339690940723719 6.383056492248272 3.889160332844334 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
619 6.719268798828125 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -6.097412004742815 -4.075927913665325 -10.480952602141246 -2.4697967245409043 1.9522754347307998 0.7054558503373508 -2.441672563287929 7.3250176898637855 -6.592515920877408 0.3695833883460046 -0.486681766491277 6.097412004742815 4.075927913665325 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
620 6.730026721954346 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -5.778808439397462 -4.251709168556884 -10.371095839530762 -2.4964441622276032 2.0294127543501923 0.6367335110400741 -2.754314061965016 7.436647967305543 -6.610353748716038 0.39912759653937746 -0.44642727393554704 5.778808439397462 4.251709168556884 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
621 6.740760326385498 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -5.449218941658966 -4.394531438990039 -10.261225416541937 -2.523091599914302 2.107952570689937 0.5666086750224448 -2.652336726869778 7.662306099846027 -6.778193857556101 0.42654452656033126 -0.40361359754262827 5.449218941658966 4.394531438990039 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
622 6.7514564990997314 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -5.108642657753681 -4.515381070904542 -10.151368653931451 -2.548336540880649 2.179479903427919 0.5034963226065784 -2.5972161488010856 7.791648446403258 -7.0124836017629315 0.4522998029125558 -0.36230074333390666 5.108642657753681 4.515381070904542 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
623 6.7621331214904785 0.9046102964162153 0.96 0.0 0.286062874136466 -0.96 0.9050966799187807 -4.757080014568432 -4.62524434353908 -10.052494835506346 -2.574983978567348 2.256617223047311 0.43337148658894914 -2.562276021238739 7.686828063716218 -6.98802551246929 0.47676576949640986 -0.32575492946293666 4.757080014568432 4.62524434353908 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
624 6.772809028625488 0.569243066239476 0.96 0.0 0.01223667734195677 -0.9173333572607374 0.9050966799187807 -4.4055177982700044 -4.71313495097454 -9.942624412517521 -2.6142538867372207 2.375829444277281 0.3253792391218 -2.6856320176964417 7.758492495567498 -6.863281823002017 0.49650801261418925 -0.2893778102940362 4.4055177982700044 4.71313495097454 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
625 6.783449649810791 -0.14685614753630558 0.96 0.0 -0.5724558823110015 -0.3326407976077792 0.9050966799187807 -3.8781738334921294 -4.822998223609077 -9.788822212787174 -2.6409013244239197 2.454369260617026 0.2552544031041707 -2.337981613423774 7.598440243627265 -7.013944840271321 0.5697416902093428 -0.26744708080131985 3.8781738334921294 4.822998223609077 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
626 6.79420018196106 -0.38821462742648966 0.96 0.0 -0.76952425591925 -0.1355724239995306 0.9050966799187807 -3.5266116171937028 -4.888916219206312 -9.678951789798349 -2.664743768669914 2.532909076956771 0.1823245736458362 -2.072947010656272 7.699517468151868 -6.8111116064420365 0.57023619390529 -0.23541572352245932 3.5266116171937028 4.888916219206312 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
