i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
118 0.6426122188568115 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05119660869240761 -2.8921291828155518 0 0 0 0 0 0 0 -4310 4359 
119 0.6480634212493896 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05081311613321304 -2.8923208713531494 0 0 0 0 0 0 0 -4349 4398 
120 0.6534807682037354 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05023787170648575 -2.892512559890747 0 0 0 0 0 0 0 -4391 4439 
121 0.6588952541351318 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05004612356424332 -2.892512559890747 0 0 0 0 0 0 0 -4433 4482 
122 0.6642782688140869 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05042961984872818 -2.8923208713531494 0 0 0 0 0 0 0 -4477 4526 
123 0.6697342395782471 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05081311613321304 -2.8923208713531494 0 0 0 0 0 0 0 -4518 4567 
124 0.675093412399292 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.051004864275455475 -2.892512559890747 0 0 0 0 0 0 0 -4567 4616 
125 0.6805646419525146 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05138835683465004 -2.8928961753845215 0 0 0 0 0 0 0 -4609 4658 
126 0.6861541271209717 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05158010497689247 -2.893087863922119 0 0 0 0 0 0 0 -4688 4736 
127 0.6915504932403564 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.0517718531191349 -2.8928961753845215 0 0 0 0 0 0 0 -4729 4777 
128 0.6970195770263672 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.0523470975458622 -2.8923208713531494 0 0 0 0 0 0 0 -4771 4818 
129 0.7025399208068848 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.05253884196281433 -2.891937255859375 0 0 0 0 0 0 0 -4813 4861 
130 0.7080433368682861 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05253884196281433 -2.891937255859375 0 0 0 0 0 0 0 -4856 4903 
131 0.7134671211242676 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05253884196281433 -2.891937255859375 0 0 0 0 0 0 0 -4900 4947 
132 0.7188971042633057 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.052155349403619766 -2.8923208713531494 0 0 0 0 0 0 0 -4946 4992 
133 0.7243075370788574 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.051963601261377335 -2.892512559890747 0 0 0 0 0 0 0 -4986 5032 
134 0.7297770977020264 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.051963601261377335 -2.892512559890747 0 0 0 0 0 0 0 -5026 5071 
135 0.7351682186126709 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.052155349403619766 -2.892512559890747 0 0 0 0 0 0 0 -5068 5113 
136 0.7406995296478271 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051963601261377335 -2.8927042484283447 0 0 0 0 0 0 0 -5153 5197 
137 0.7460377216339111 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051963601261377335 -2.8927042484283447 0 0 0 0 0 0 0 -5153 5197 
138 0.7515583038330078 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05158010497689247 -2.892512559890747 0 0 0 0 0 0 0 -5238 5281 
139 0.7569386959075928 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05158010497689247 -2.8921291828155518 0 0 0 0 0 0 0 -5278 5321 
140 0.7622637748718262 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.051963601261377335 -2.8917455673217773 0 0 0 0 0 0 0 -5315 5357 
141 0.7675909996032715 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.052155349403619766 -2.8915538787841797 0 0 0 0 0 0 0 -5352 5394 
142 0.7728748321533203 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.052155349403619766 -2.891937255859375 0 0 0 0 0 0 0 -5391 5432 
143 0.7782866954803467 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.0517718531191349 -2.892512559890747 0 0 0 0 0 0 0 -5431 5472 
144 0.7836289405822754 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05119660869240761 -2.8928961753845215 0 0 0 0 0 0 0 -5471 5511 
145 0.788933277130127 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05042961984872818 -2.893087863922119 0 0 0 0 0 0 0 -5512 5552 
146 0.7943012714385986 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05004612356424332 -2.893087863922119 0 0 0 0 0 0 0 -5555 5595 
147 0.79966139793396 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.04947088286280632 -2.8928961753845215 0 0 0 0 0 0 0 -5601 5640 
148 0.8055088520050049 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.04908738657832146 -2.8927042484283447 0 0 0 0 0 0 0 -5639 5679 
